"EAN"|"CODE_ISP"
7800017063424|"F-10480"
3596540010137|"F-10495"
3596540010144|"F-10495"
7800017009439|"F-10495"
7800017009446|"F-10495"
7800018117232|"F-105"
742948559|"F-10501"
7800017018219|"F-10501"
7702418006171|"F-10512"
7702418006188|"F-10513"
7702418744998|"F-10513"
7800042131112|"F-10550"
7800054002264|"F-10553"
7800001304007|"F-10557"
7800001000404|"F-10560"
7800001900209|"F-10560"
7800001700069|"F-10561"
744775829|"F-10591"
7800001540009|"F-10591"
7800001000701|"F-10592"
7800001900193|"F-10592"
742549237|"F-106"
7800018117218|"F-106"
741734619|"F-10626"
7896116866554|"F-10626"
7896116883513|"F-10626"
742739046|"F-10630"
7501303443301|"F-10630"
740853191|"F-10652"
7800029002046|"F-10652"
7800029000790|"F-10665"
7800029001384|"F-10676"
7800029001360|"F-10677"
7800029001377|"F-10678"
7800029001612|"F-10685"
7800029000974|"F-10691"
7800029000950|"F-10692"
742549546|"F-107"
7800018117195|"F-107"
1588621336629|"F-10712"
743417155|"F-10735"
7804900198026|"F-10735"
7800029818180|"F-10749"
7804900818146|"F-10749"
7800029807139|"F-10751"
7800097002696|"F-10769"
740367868|"F-10776"
7809591400472|"F-10776"
7809591400564|"F-10789"
7809591400571|"F-10789"
7804918400593|"F-10808"
7804918401149|"F-10815"
7804918402108|"F-10823"
7804918402115|"F-10826"
7804918402153|"F-10828"
742735224|"F-10834"
7804918402313|"F-10834"
7804918402054|"F-10836"
7804918402047|"F-10837"
7804918441381|"F-10837"
7800067015725|"F-10844"
7800062001907|"F-10847"
7800062002430|"F-10848"
7800026015278|"F-10965"
7800026020104|"F-10972"
740744878|"F-10975"
7800026016107|"F-10975"
740748167|"F-10976"
7800026016053|"F-10976"
7800032000411|"F-1098"
7800026020647|"F-10983"
7800026020654|"F-10984"
7800026154892|"F-11037"
7800026016190|"F-11043"
7896261014749|"F-1105"
7804646030222|"F-11063"
7800026011805|"F-11067"
7800026009994|"F-11070"
7800026010006|"F-11070"
7800026026588|"F-11075"
7800026026632|"F-11076"
7800026021644|"F-11080"
7800026021309|"F-11108"
740616284|"F-11119"
7800026001622|"F-11119"
7800026029640|"F-11119"
740619105|"F-11120"
7800026001639|"F-11120"
7800026029657|"F-11120"
743873478|"F-11122"
7800026017319|"F-11122"
743875237|"F-11123"
7800026017388|"F-11123"
7804620833498|"F-11160"
7800018150369|"F-11177"
740623437|"F-11220"
7800018112176|"F-11220"
7800020161865|"F-1124"
740738323|"F-11243"
7800018000770|"F-11243"
7800034510840|"F-11243"
743463317|"F-1125"
7800002003176|"F-1125"
7800002003183|"F-1125"
7800034514022|"F-11258"
741019864|"F-11259"
741020758|"F-11259"
7800034515982|"F-11259"
7800034518204|"F-11259"
7800039216969|"F-11261"
7800018119236|"F-11265"
741489808|"F-11274"
7800034514534|"F-11274"
7800039219427|"F-11289"
7800018114910|"F-11290"
7800018114927|"F-11290"
742334608|"F-11299"
7800018116372|"F-11299"
7800007695314|"F-11334"
7800034514398|"F-11334"
7800007695239|"F-11335"
7800034514381|"F-11335"
7800018116327|"F-11360"
7800018113753|"F-11363"
7800018157030|"F-11377"
7800018114828|"F-11389"
7800018114125|"F-11392"
7800046004078|"F-11438"
7800046004733|"F-11438"
744382351|"F-11447"
7800059002023|"F-11447"
740230824|"F-11458"
7800020187506|"F-11458"
7800020031915|"F-11510"
7800020032110|"F-11511"
7809591400038|"F-11522"
7800020037214|"F-11527"
7501124183363|"F-11537"
7800020018411|"F-11537"
7800020162138|"F-11537"
743424070|"F-11542"
7800020017810|"F-11542"
7800060003026|"F-1159"
7800060118195|"F-116"
7800068013485|"F-11600"
7800068031885|"F-11603"
742742469|"F-11604"
7800068031908|"F-11604"
7800068030468|"F-11607"
740692207|"F-11608"
7800068030628|"F-11608"
740692026|"F-11609"
7800068030611|"F-11609"
8901790709147|"F-11609"
740310538|"F-1161"
7800060003057|"F-1161"
740689307|"F-11610"
7800068030604|"F-11610"
7800068030451|"F-11611"
7800068014208|"F-11612"
7800068030895|"F-11614"
7800068030093|"F-11618"
7800068032707|"F-11620"
7800068032721|"F-11621"
7800068031137|"F-11623"
7800068014116|"F-11624"
740378417|"F-11625"
7800068010644|"F-11625"
9999036003554|"F-11625"
7800068010620|"F-11626"
9999036003479|"F-11626"
740380487|"F-11627"
7800068010606|"F-11627"
7800068031724|"F-11628"
7800060009301|"F-1163"
7800068014031|"F-11631"
743910426|"F-11632"
7800068014185|"F-11632"
7800068014222|"F-11632"
743915248|"F-11633"
7800068014192|"F-11633"
744127878|"F-11634"
7800068015830|"F-11634"
744129746|"F-11635"
7800068015823|"F-11635"
