id	producto_id	tipo_detalle_id	detalle
77700337	7800060155558		
77700340	7800063110707		
77700339	7800086706208		
77700342	7800007114440		
77700344	7800007114525		
77700351	7804620834945		
77700349	8903726189559		
77700348	7800063112022		
77700346	7804650880066		
77700347	7800041040637		
77700350	7804620834112		
77700358	7804673040317		
77700357	7800063116600		
77700352	7804620834105		
77700353	2000000674421		
77700354	7804650881797		
77700355	1643821280651		
77700356	7800041040620		
77700359	7800007660442		
77700362	7804620834914		
77700360	7800063116617		
77700361	7804620834129		
77700364	7800007782397		
77700365	7800007775856		
77700366	7800007775931		
77700367	7800007728340		
77700368	7800018183039		
77700369	7800060111189		
77700370	7800060117464		
77700371	7800060111264		
77700372	7800060017245		
77700373	7800060111349		
77700374	7800060017405		
77700375	7800060156012		
77700376	7800060120099		
77700377	7800060119918		
77700378	7800060113633		
77700379	7800060116061		
77700381	7800060115927		
77700387	7804620833610		
77700383	7804673040065		
77700384	7800063130101		
77700386	7804640560633		
77700382	7804640560886		
77700409	7801000001522		
77700408	7804620834471		
77700407	7800063121000		
77700399	7804629440055		
77700400	7804620833634		
77700401	7804640560626		
77700402	1582577254238		
77700403	7804650880721		
77700405	7800018159379		
77700406	7804673040409		
77700410	7804650880714		
77700412	7801000001836		
77700413	7804620833627		
77700411	7804640560640		
77700427	7804620833412		
77700397	7804620833900		
77700396	7804633500387		
77700388	7804640560862		
77700389	1625264570934		
77700392	7804650885306		
77700393	7804650884743		
77700394	7804650883319		
77700395	1617733749755		
77700415	7800063110547		
77700414	7800007729743		
77700420	7804620833535		
77700419	7804650884620		
77700416	5290931004344		
77700417	7804650880301		
77700418	7804640560848		
77700425	7804636190325		
77700424	7804633500394		
77700423	7804620833818		
77700421	7804650880318		
77700422	7804640560855		
77700426	7804633500592		
77700428	7804640560893		
77700429	7800033040584		
77700431	7800063120041		
77700432	7800060700413		
77700433	7800060700338		
77700434	7800007788832		
77700435	7800007788672		
77700436	7800007804648		
77700437	7800033080634		
77700438	7800033016206		
77700439	7800033016305		
77700440	7800033000953		
77700441	7800032000312		
77700442	7795373010062		
77700443	7804650800125		
77700444	7804650800026		
77700447	7804650800019		
77700446	7804650800002		
77700445	7804650800101		
77700449	7804650800095		
77700448	7804650800118		
77700452	78026483		
77700453	3107420076404		
77700451	1540926179191		
77700768	7800038041104		
77700769	7800068010415		
77700454	7800026245781		
77700455	8437020503136		
77700456	7756281000019		
77700457	1543070651308		
77700458	7896548167373		
77700459	7891317020231		
77700460	7891317020248		
77700461	7800026001080		
77700462	7896116865472		
77700463	7896116863218		
77700464	7800059002764		
77700465	7804611060575		
77700466	7800029004606		
77700469	7800018188317		
77700468	7804620831227		
77700471	7800023226165		
77700472	7800060005556		
77700473	1543511794037		
77706415	7800068013034		
77706416	7800068013041		
77700474	7800060014497		
77700475	7800060005648		
77700476	7800060014220		
77700478	7800060130647		
77700480	614143654640		
77700479	614143654633		
77700481	7891317005023		
77700482	7800070001845		
77700484	7800020188015		
77700486	7800020187506		
77700488	7800020187513		
77700489	1592662363287		
77700491	7804650880219		
77700492	7800026029909		
77700493	7800026029022		
77700494	7800006002908		
77700495	7800006002724		
77700497	7800050306007		
77703700	3582910023630		
